alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.0,3,1090.3179571094975,779.0018581880182,0.0,215.27374376509778,2592.8933734315606,-206.1618233622249,-937.6818590935585,1468166.932477967,-1937.4636938858798,-2229.8949476930893,-2.124507002808666,18.0,150.0,1.0,0.0,1.0
0.0,2,-167.35695681189986,2356.879109766499,0.0,-319.8855985854307,2361.0447644375968,319.88559858543067,-2299.778378070039,2232801.478126306,-2559.0847886834454,0.0,-2.52546618983203,20.0,167.0,0.9333333333333333,0.0,0.9896296296296296
0.15,2,-169.31024139199738,2159.7518611294267,0.0,-292.7156571302809,2173.6015701835736,292.7156571302809,-2729.9839214630692,2098966.417282411,-2379.182391614764,-276.04472251476636,-1.9647811958058656,19.0,170.0,1.0,0.0,0.9985185185185185
0.15,1,32.71342842707494,2026.287049146659,-169.94324756989926,-173.57492945532792,2043.4149886808998,172.91827010586508,-1904.0587338362893,2098447.910739181,-2410.279867789877,-8243.461248595326,-5.080578430549833,33.0,168.0,0.5333333333333333,0.0,1.0
0.15,0,-159.06887180394756,2113.2132824994815,0.0,-287.0685168523722,2126.792704114177,287.0685168523722,-2635.165527866309,2003738.2476295582,-2296.548134818978,0.0,-1.5411392420358554,15.0,167.0,1.0,0.0,0.9896296296296296
0.0,0,-132.9445841608287,2266.0410374811568,-12.33101720046137,-290.32982514322725,2316.350819470588,297.97505580752767,-2666.6617595195776,2279122.0002642935,-2546.611827176848,-1829.996693906709,-3.053716549541412,28.0,181.0,0.9333333333333333,0.0,0.9992592592592593
0.0,1,-221.08617758004203,1770.6858666002488,0.0,-242.18184096466092,1339.4788491322158,139.7569747394245,-934.8312562860008,1690429.2499333334,-1937.4547277172874,-5019.15632910164,-2.0108190558689403,15.0,168.0,1.0,0.0,0.9955555555555555
0.0,4,-156.85186574517604,2107.280111696852,0.0,-283.54252635154256,2080.0485686976035,276.69119272805966,-2026.6217331347284,2106715.739527767,-2362.0885511917745,-1723.7247889853581,-4.83334784783594,33.0,168.0,0.6,0.0,0.9925925925925926
0.15,3,-229.38850784860315,1823.873385522948,0.0,-251.83761542107237,1437.244461518722,162.46886328360355,-1008.599802186859,1757826.5556390851,-2014.700923368579,-4524.1539701094825,-1.7215720268481889,17.0,169.0,1.0,0.0,0.997037037037037
0.3,1,1256.7889707675768,916.8470363814153,0.0,247.63539240337823,2922.575554844135,-234.95353331862498,-937.645934914112,1688873.3761910398,-2228.718531630404,-1967.8382189820884,-1.2176245573686146,15.0,150.0,1.0,0.0,1.0
